old_name,new_name
rsa_sa58_7.62x51_bolt,rsa_sg58_7.62x51_bolt
fn_fal_long_carry_handle,af_far_long_carry_handle
sa58_stg58_carry_handle,sg58_stg58_carry_handle
sa58_std_charging_handle,sg58_std_charging_handle
fn_fal_std_dust_cover,af_far_std_dust_cover
sa58_std_fire_selector,sg58_std_fire_selector
rsa_sa58_metric_para_folding_stock,rsa_sg58_metric_para_folding_stock
rsa_sa58_folding_spr_para_stock_body,rsa_sg58_folding_spr_para_stock_body
rsa_sa58_folding_spr_para_stock_extendable_part,rsa_sg58_folding_spr_para_stock_extendable_part
rsa_sa58_folding_spr_para_stock_buttpad_mount,rsa_sg58_folding_spr_para_stock_buttpad_mount
rsa_sa58_folding_spr_para_stock_cheek_riser,rsa_sg58_folding_spr_para_stock_cheek_riser
rsa_sa58_folding_spr_para_stock_buttpad,rsa_sg58_folding_spr_para_stock_buttpad
fnb_precision_fal_duplex_front_sight,fnb_precision_far_duplex_front_sight
fnb_precision_fal_crosshair_front_sight,fnb_precision_far_crosshair_front_sight
sa58_std_grip,sg58_std_grip
protac_ergonomic_ag_fal_pistol_grip,protac_ergonomic_ag_far_pistol_grip
rsa_sa58_belgian_style_full_length_handguard,rsa_sg58_belgian_style_full_length_handguard
rsa_sa58_wood_full_length_handguard,rsa_sg58_wood_full_length_handguard
rsa_sa58_belgian_style_mid_length_handguard,rsa_sg58_belgian_style_mid_length_handguard
rsa_sa58_metric_mlok_full_length_bottom_handguard,rsa_sg58_metric_mlok_full_length_bottom_handguard
rsa_sa58_metric_mlok_full_length_top_handguard,rsa_sg58_metric_mlok_full_length_top_handguard
rsa_sa58_metric_mlok_mid_length_bottom_handguard,rsa_sg58_metric_mlok_mid_length_bottom_handguard
rsa_sa58_metric_mlok_mid_length_top_handguard,rsa_sg58_metric_mlok_mid_length_top_handguard
rsa_sa58_metric_mlok_pistol_length_bottom_handguard,rsa_sg58_metric_mlok_pistol_length_bottom_handguard
rsa_sa58_metric_mlok_pistol_length_top_handguard,rsa_sg58_metric_mlok_pistol_length_top_handguard
rsa_sa58_tactical_pistol_v2_handguard,rsa_sg58_tactical_pistol_v2_handguard
sa58_std_lower_receiver,sg58_std_lower_receiver
rsa_sa58_holland_type_sight,rsa_sg58_holland_type_sight
rsa_sa58_para_rear_sight,rsa_sg58_para_rear_sight
rsa_sa58_rear_sight_picatinny_mount,rsa_sg58_rear_sight_picatinny_mount
rsa_sa58_para_fold_assembly,rsa_sg58_para_fold_assembly
rsa_sa58_polymer_humpback_stock,rsa_sg58_polymer_humpback_stock
rsa_sa58_x_series_stock,rsa_sg58_x_series_stock
rsa_sa58_buttpad,rsa_sg58_buttpad
rsa_sa58_wood_humpback_stock,rsa_sg58_wood_humpback_stock
sa58_wood_stock_buttpad,sg58_wood_stock_buttpad
rsa_sa58_pistol_qd_sling_endplate,rsa_sg58_pistol_qd_sling_endplate
rsa_sa58_210mm_premium_pistol_barrel,rsa_sg58_210mm_premium_pistol_barrel
rsa_sa58_305mm_barrel,rsa_sg58_305mm_barrel
rsa_sa58_330mm_barrel,rsa_sg58_330mm_barrel
rsa_sa58_406mm_barrel,rsa_sg58_406mm_barrel
rsa_sa58_457mm_barrel,rsa_sg58_457mm_barrel
rsa_sa58_533mm_barrel,rsa_sg58_533mm_barrel
rsa_sa58_406mm_fluted_barrel,rsa_sg58_406mm_fluted_barrel
rsa_sa58_pistol_gas_piston,rsa_sg58_pistol_gas_piston
rsa_sa58_rifle_gas_piston,rsa_sg58_rifle_gas_piston
rsa_sa58_enhanced_bumper_magazine_bottom_plate,rsa_sg58_enhanced_bumper_magazine_bottom_plate
rsa_sa58_mag_bottom_plate,rsa_sg58_mag_bottom_plate
7.62x54r_zim_rifle_150gr_spbt,7.62x54r_pga_rifle_150gr_spbt
7.62x54r_norilsk_7t2_149gr_green_tracer,7.62x54r_norilsk_7t2m_149gr_green_tracer
