0.25.3,Thu Jul 16 18:20:38 2026,,,,,,,,,,,,,
id,class,name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price
,,azimuth_ar15_spacer,Azimuth AR-15 Spacer,-1,0.02,,,,,,,,,200
,,azimuth_compm4_sight,Azimuth CompM4,-1,0.14,,,,,,,,,1000
,,rk_b25_angled_mount,Rk B25 angled,-1,0.03,0,0,,,,,,,500
,,rk_foregrip_mount,Rk foregrip,-0.5,0.03,0,0,,,,,,,200
,,rk_short_foregrip_mount,Rk short foregrip,-0.5,0.02,0,0,,,,,,,200
,,virticon_rm33_mount,Virticon RM33 RMR,0,0.02,,,,,,,,,300
,,rtm_pillau_tactical_grip,RTM Pillau Tactical,4,0.07,-3,-3,,,,,,,300
,,vectorworks_leap01_swo100_1.42_mount,"Vectorworks LEAP/01 SWO100 1.42""",-1,0.04,,,,,,,,,500
,,vectorworks_leap01_swo110_1.57_mount,"Vectorworks LEAP/01 SWO110 1.57"" Mount",-1,0.05,,,,,,,,,550
,,vectorworks_leap01_swo120_1.93_mount,"Vectorworks LEAP/01 SWO120 1.93"" Mount",-1,0.06,,,,,,,,,600
,,sig_sauer_bravo4_4x30,Sic Stürmer BRAVO4 4X30,-2.5,0.27,,-2,,,,,,,2000
,,sig_sauer_qd_1.41_cowitness_romeo3_riser,Sic Stürmer QD 1.41 co-witness Romeo 3,-1,0.04,,,,,,,,,300
,,sig_sauer_romeo3_low_rise_mount,Sic Stürmer Romeo 3 Low-Rise,0,0.02,,,,,,,,,200
,,sig_sauer_romeo_cowitness_qd_mount,Sic Stürmer Romeo Co-witness QD Mount,-0.5,0.05,,,,,,,,,400
,,sig_sauer_romeo4_mount,Sic Stürmer Romeo4,-1,0.04,,,,,,,,,200
,,sig_sauer_romeo4_low,Sic Stürmer Romeo4 Low,0,0.03,,,,,,,,,200
,,sig_sauer_romeo4t_1/3_cowitness_mount,Sic Stürmer Romeo4T Lower Hex Bolt 1/3 Co-witness,-0.5,0.05,,,,,,,,,300
,,sig_sauer_romeo5_low_mount,Sic Stürmer Romeo5 Low,0,0.02,,,,,,,,,200
,,sightmark_lopro_combo,Sightmark Lopro Combo,-0.5,0.06,,,,,,,,,500
,,sightmark_lopro_mini_combo,Sightmark Lopro Mini Combo,-0.5,0.05,,,,,,,,,600
,,stark_se_5_express_forward_grip,Stark SE-5 Express Forward,2,0.1,-5,-5,,,,,,,400
,,swampfox_picatinny_rmr_footprint_mount,Swampfox Picatinny RMR,0,0.02,,,,,,,,,200
,,swampfox_trihawk_3x30_prism_scope,Swampfox Trihawk 3x30 Prism,-3,0.22,,-1,,,,,,,1000
,,targetdown_bgv_mk46k_grip,Targetdown BGV-MK46K,3,0.08,-4,-4,,,,,,,600
,,timber_creek_enforcer_foregrip,Lumber River Enforcer,3,0.1,-3,-5,,,,,,,700
,,timber_creek_enforcer_handstop,Lumber River Enforcer,6,0.05,-1,-2,,,,,,,700
,,virticon_compact_acog_ac12041_mount,Virticon Compact ACOG AC12041 w/ Q-LOC Technology,0,0.03,,,,,,,,,350
,,virticon_rmr_ac32066_offset,Virticon RMR AC32066 45 degree,-0.5,0.03,,,,,,,,,200
,,virticon_rx14_mount,Virticon RX14,-0.5,0.06,,,,,,,,,200
,,virticon_srs02,Virticon SRS-02,-1,0.16,,,,,,,,,1000
,,virticon_ta51_flattop_mount,Virticon TA51 Thumbscrew Flattop,0,0.06,,,,,,,,,400
,,tristar_compact_carry_handle,Tristar Compact,4,0.3,,,,,,,,,1200
,,true_view_rap4_offset_picatinny_mount,TRUE VIEW RAP4 45 Degree,-1,0.08,,,,,,,,,500
,,true_view_rap4_offset_picatinny_mount_flipped,TRUE VIEW RAP4 45 Degree Flipped,-1,0.08,,,,,,,,,500
,,um_3_wilson,UM3,-1,0.06,,,,,,,,,300
,,unity_fast_lpvo_30mm_mount,Harmony FAST LPVO 30mm,-1.5,0.1,,,,,,,,,750
,,unity_fast_micro_mount,Harmony Fast Micro,-1,0.06,,,,,,,,,500
,,unity_fast_optics_riser,Harmony FAST Optics,-1,0.04,,,,,,,,,500
,,atg_ms_qd_foregrip,ATG MS QD,4,0.15,-6,-1,,,,,,,500
,,atg_super_slim_vertical_foregrip,ATG Super Slim Vertical,5,0.1,-1,-5,,,,,,,300
,,volhov_1p87,Valday JSC optics PK-120 (1P87),-2,0.16,,,,,,,,,1000
,,viking_tactical_uvg_grip,Viking Tactical UVG,5,0.09,-2,-4,,,,,,,800
,,vortex_optics_razor_amg_uh1_gen1_sight,Cyclone Optics Razor AMG UH-1 Gen I,-1.5,0.17,,,,,,,,,1600
,,vortex_optics_sport_cantilever_cm_102_30mm_2inch_offset,"Cyclone Optics Sport Cantilever 30mm CM-102 2"" Offset",-1,0.09,,,,,,,,,500
,,vortex_optics_sport_cantilever_cm_203_30mm_3inch_offset,"Cyclone Optics Sport Cantilever 30mm CM-203 3"" Offset",-1,0.1,,,,,,,,,500
,,gunther_mrs_red_dot_sight,Gunther MRS Reflex,-6,0.07,,,,0.25,,,,,600
,,veles_chelomo_pk06_kobra_sight,Veles ChelOMO PK-06 Kobra,-2.5,0.06,,,,,,,,,1000
,,veles_chelomo_prc_red_dot,Veles ChelOMO PRC,-1,0.16,,,,,,,,,1200
,,veles_chelomo_picatinny_mount_pkas,Veles ChelOMO PK-AS,0,0.05,,,,,,,,,300
,,veles_klesch_2p_lcu,Veles Klesch-2P + LCU,-0.5,0.08,,,,,,,,,1000
,,veles_perst_3_classic_gen4_green,"Veles Perst-3 ""Classic"" gen 4.0 (GREEN+)",-1,0.07,,,,,,,,,1000
,,primary_arms_slx_1x_microprism_acss_g2_scope_alt,,-1,0.08,,,,,,,,,1300
,,primary_arms_slx_1.53inch_straight_spacer_alt,,0,0.05,,,,,,,,,100
,,gbrs_group_lerna_picatinny_holotec_mount,GBRS Group Lerna Picatinny HOLOTEC,-1,0.07,,,,,,,,,900
,,smite_industries_ar_picatinny_bipod_foregrip,Smite Industries AR Picatinny,0,0.1,0,0,,,,,,,700
,,smite_industries_bipod_foregrip_collapsed_legs,Smite Industries Bipod Foregrip Collapsed,-1,0.06,-3,-4,,,,,,,0
,,smite_industries_bipod_foregrip_extended_legs,Smite Industries Bipod Foregrip Extended,-3,0.06,-5,-6,,,,,,,0
,,smite_industries_cobra_tactical_foregrip,Smite Industries Cobra Tactical,5,0.06,-4,0,,,,,,,500
,,vectorworks_peak01_fixed_front_ironsight,Vectorworks PEAK/01 Front Fixed Ironsight,0,0.03,,,,,,,,,750
,,vectorworks_peak01_fixed_rear_ironsight,Vectorworks PEAK/01 Rear Fixed Ironsight,0,0.03,,,,,,,,,750
,,squadsight_orion_3x_gen1_plus_nv_scope,Squadsight Orion 3X Gen1 Plus,-8,0.36,,-3,,,,,,,3000
,,bcm_gunfighter_mod3_picatinny_foregrip,BCM Gunfighter Mod 3 Picatinny,5,0.07,-3,-2,,,,,,,300
,,bcm_gunfighter_mod3_picatinny_foregrip_flipped,BCM Gunfighter Mod 3 Picatinny Flipped,5,0.07,-3,-2,,,,,,,300
,,bcm_gunfighter_mod3_picatinny_shortened_foregrip,BCM Gunfighter Mod 3 Picatinny Shortened,6,0.05,-2,-1,,,,,,,300
,,bcm_gunfighter_mod3_picatinny_shortened_foregrip_flipped,BCM Gunfighter Mod 3 Picatinny Shortened Flipped,6,0.05,-2,-1,,,,,,,300
,,axtell_defense_3inch_picatinny_rail_panel,Axtell Defense 3 inch Picatinny,1,0.04,,,,,,,,,300
,,axtell_defense_5inch_picatinny_rail_panel,Axtell Defense 5 inch Picatinny,1.5,0.06,,,,,,,,,500
,,axtell_defense_7inch_picatinny_rail_panel,Axtell Defense 7 inch Picatinny,2,0.08,,,,,,,,,700
,,axtell_defense_rubber_overmolding_vertical_foregrip,Axtell Defense Soft Touch Rubber Overmolding Vertical,4,0.09,-3,-4,,,,,,,500
,,bt_qd_nar_acro_22mm_mount,B&T QD NAR ACRO 22mm,0,0.03,,,,,,,,,500
,,bt_qd_nar_acro_30mm_mount,B&T QD NAR ACRO 30mm,-0.5,0.04,,,,,,,,,550
,,bt_qd_nar_acro_39mm_mount,B&T QD NAR ACRO 39mm,-1,0.05,,,,,,,,,600
,,sc_irregulars_omm_micro_mount,AT Refine OMM MICRO,-1,0.13,,,,,,,,,2000
,,sc_irregulars_omm_pic_mount,AT Refine OMM PIC Mount,-2,0.08,,,,,,,,,1500
,,volhov_zt310_picatinny_mount,Valday JSC Optics ZT-310 Picatinny,0,0.03,,,,,,,,,100
,,arbalet_patriot_k_pu_20mm_picatinny_mount,Arbalet Patriot K-PU 20mm Picatinny,0,0.06,,,,,,,,,400
,,virticon_rm34_ac12036_mount,Virticon RM34 AC12036,-0.5,0.04,,,,,,,,,400
,,troy_battlesight_round_aperture,Troy Battlesight Round Rear Aperture,0,0.005,,,,,,,,,0
,,troy_battlesight_round_aperture_for_folded,Troy Battlesight Round Rear Aperture,0,0.005,,,,,,,,,0
,,troy_battlesight_std_front_post,Troy Battlesight Std. Front Post,0,0.005,,,,,,,,,0
,,troy_front_hk_battlesight,Troy Front Battlesight,1,0.01,,,,,,,,,0
,,troy_front_hk_battlesight_folded,Troy Front Battlesight Folded,1,0.01,,,,,,,,,0
,,troy_rear_battlesight,Troy Rear Battlesight,1,0.01,,,,,,,,,0
,,troy_rear_battlesight_folded,Troy Rear Battlesight Folded,1,0.01,,,,,,,,,0
,,troy_battlesight_picatinny_base,Troy Battlesight Base,0,0.02,,,,,,,,,400
,,axtell_defense_rock_lock_rail_mounted_fixed_front_sight,Axtell Defense Rock & Lock Rail Mounted Fixed,0,0.02,,,,,,,,,700
,,axtell_defense_rock_lock_a1.5_fixed_rear_sight,Axtell Defense Rock & Lock A1.5 Fixed,0,0.03,,,,,,,,,700
,,axtell_defense_fixed_sight_front_post,Axtell Defense Fixed,1,0.005,,,,,,,,,0
,,axtell_defense_fixed_sight_rear_aperture,Axtell Defense Fixed,1,0.005,,,,,,,,,0
,,firm_#40_rear_sight_base,F.I.R.M. #40 Base,0,0.02,,,,,,,,,400
,,firm_#40_rear_sight,F.I.R.M. #40,1,0.02,,,,,,,,,0
,,firm_#40_rear_sight_folded,F.I.R.M. #40 Folded,1,0.02,,,,,,,,,0
,,firm_#40_rear_sight_aperture,F.I.R.M. #40,0,0.005,,,,,,,,,0
,,dams_mangonel_front_sight,DAMS Mangonel,1,0.01,,,,,,,,,0
,,dams_mangonel_rear_sight,DAMS Mangonel,1,0.01,,,,,,,,,0
,,dams_mangonel_rear_sight_folded,DAMS Mangonel Folded,1,0.01,,,,,,,,,0
,,dams_mangonel_front_sight_folded,DAMS Mangonel Folded,1,0.01,,,,,,,,,0
,,dams_mangonel_rear_sight_base,DAMS Mangonel Base,0,0.04,,,,,,,,,400
,,dams_mangonel_front_sight_base,DAMS Mangonel Base,0,0.04,,,,,,,,,400
,,stellartac_saturn_scope_mount,StellarTAC SATURN Scope,,0.04,,,,,,,,,100
,,cosmotac_vism_gen2_carry_handle,CosmoTac VISM Gen2,1,0.13,,,,,,,,,1000
,,cosmotac_vism_micro_green_dot_red_laser_vdgrlb,CosmoTac VISM Micro Green Dot w/ Red Laser VDGRLB,-3,0.06,,,,,,,,,700
,,cosmotac_vism_carry_handle_front_sight,CosmoTac VISM Carry Handle,1,0.01,,,,,,,,,0
,,cosmotac_vism_carry_handle_front_sight_folded,CosmoTac VISM Carry Handle Folded,1,0.01,,,,,,,,,0
,,holotec_ogl_tactical_laser_module,HOLOTEC OGL Tactical,-2,0.06,,,,,,,,,2500
,,holotec_ogl_access_point_cap,HOLOTEC OGL,0,0.01,,,,,,,,,0
,,holotec_ogl_lens_caps,HOLOTEC OGL,1,0.01,,,,,,,,,0
,,whitehouse_raid_xe_g18_high_power_laser_aiming_device,Whitehouse RAID Xe G18 High Power,-2,0.06,,,,,,,,,4500
,,whitehouse_raid_xe_g14_high_power_laser_aiming_device,Whitehouse RAID Xe G14 High Power,-2,0.06,,,,,,,,,4000
,,whitehouse_raid_xe_junction_box_legacy_crane_connector,Whitehouse RAID Xe Legacy Crane Connector,0,0.01,,,,,,,,,0
,,whitehouse_raid_xe_front_caps,Whitehouse RAID Xe Front,0,0.01,,,,,,,,,0
,,pac_azimuth_micro_nvg_high_rise_picatinny_mount,PAC Azimuth Micro NVG High Rise Picatinny Mount,-2,0.1,,,,,,,,,1300
,,sig_sauer_foxtrot1_flashlight,Sic Stürmer FOXTROT1,0,0.05,,,,,,,,,900
,,npz_pso_1_4x24_picatinny_scope,NPZ PSO-1 4x24 Picatinny,-3,0.21,,-1,,,,,,,1200
,,npz_pso_rear_cup,NPZ PSO,2,0.02,,,,,,,,,0
,,npz_pso_front_cup,NPZ PSO Front Cup,1,0.02,,,,,,,,,0
,,stupid_camera,FujiFilm X-T20,-10,0.3,,,,,,,,,4000
,,cgr_klra,CGR Klra,0.25,0.01,,,,,,,,,1000
,,cgr_klra_flipped,CGR Klra Flipped,0.25,0.01,,,,,,,,,1000
,,cgr_jolly_roger,CGR Jolly Roger,0.25,0.01,,,,,,,,,1000
,,cgr_jolly_roger_flipped,CGR Jolly Roger Flipped,0.25,0.01,,,,,,,,,1000
,,cgr_ace,CGR Ace Negev,0.25,0.01,,,,,,,,,1000
,,cgr_ace_flipped,CGR Ace Negev Flipped,0.25,0.01,,,,,,,,,1000
,,cgr_abomination,CGR Abomination,0.25,0.01,,,,,,,,,1000
,,cgr_abomination_flipped,CGR Abomination Flipped,0.25,0.01,,,,,,,,,1000
,,cgr_punisher,CGR Punisher,0.25,0.01,,,,,,,,,1000
,,cgr_punisher_flipped,CGR Punisher Flipped,0.25,0.01,,,,,,,,,1000
,,cgr_dingler,CGR Dingler,0.25,0.01,,,,,,,,,1000
,,cgr_dingler_flipped,CGR Dingler Flipped,0.25,0.01,,,,,,,,,1000
,,cgr_aeon,CGR Aeon,0.25,0.01,,,,,,,,,1000
,,cgr_aeon_flipped,CGR Aeon Flipped,0.25,0.01,,,,,,,,,1000
,,kf_416_2mm_flip_up_sight,KF416 2mm Flip Up,0,0.02,,,,,,,,,0
,,kf_416_2mm_flip_up_sight_aperture,Default,1,0.01,,,,,,,,,0
,,kf_416_2mm_flip_up_sight_aperture_folded,Folded,1,0.01,,,,,,,,,0
,stock,,,,,,,,,,,,,
,,validus_la_stock,Validus LA,17,0.2,-12,-6,,,,,,,900
,,kf_416_slim_line_stock,KF416 Slim Line,16,0.26,-5,-19,,,,,,,1000
,,kf_416_e1_stock,KF416 E1,17,0.3,-7,-16,,,,,,,1200
,,si_viper_mod1_stock,Smite Industries Viper MOD1,18,0.14,-6,-7,,,,,,,500
,,magtap_moe_carbine_stock,Magtap MOE Carbine,17,0.19,-9,-8,,,,,,,800
,,ar_tr2_stock,AR TR2,16,0.22,-7,-12,,,,,,,800
,,vyctor_emod_stock,VLtor Emod,14,0.26,-10,-11,,,,,,,700
,,magtap_prs_gen3_stock,Magtap PRS Gen3,18,0.33,-4,-16,,-0.05,,,,,1500
,,hera_arms_ccs_stock,Eris Arms CSS,15,0.21,-9,-12,,,,,,,600
,,ak12_gen1_std_stock,Kazarov Group AK-12 Gen 1,16,0.22,-12,-7,,,,,,,750
,,hart_m4ss_stock,Hart M4SS,16,0.2,-9,-7,,,,,,,0
,,lmt_sopmod,LMT Sopmod,18,0.24,-5,-13,,,,,,,700
,,whtnls_xm177_car,Whitnalls XM177 CAR,16,0.14,-6,-11,,,,,,,500
,,thordsen_frs15_cover_stock,Thordsen FRS-15 Cover,5,0.1,0,0,,,,,,,600
,,magtap_str_carbine_stock,Magtap STR Carbine,17,0.23,-9,-9,,,,,,,900
,,magtap_moe_sl_k_carbine_stock,Magtap MOE SL-K Carbine,18,0.17,-7,-8,,,,,,,800
,,axtell_defense_collapsible_milspec_buttstock,Axtell Defense Collapsible Milspec,16,0.18,-8,-10,,,,,,,900
,,axtell_defense_concave_buttpad,Axtell Defense Concave,1,0.02,-1,-1,,,,,,,0
,ak_rear_trunnions,,,,,,,,,,,,,
,,kazarov_ak74_rear_trunnion,Kazarov AK-74,0,0.03,,,,,,,,,0
,,kazarov_akm_rear_trunnion,Kazarov AKM,0,0.03,,,,,,,,,0
,ak_springs,,,,,,,,,,,,,
,,kazarov_ak74_spring,Kazarov AK-74,0,0.03,,,,,,,,,0
