name,pretty_name
azimuth_qrp1_30mm_mount,Azimuth QRP 30mm
azimuth_qrp1_30mm_mount_w_spacer,Azimuth QRP 30mm w 39mm Spacer
whitehouse_compm_30mm_mount,Whitehouse COMP-M 30mm
azimuth_qrp2_modular_base_mount,Azimuth QRP2 Modular Base
azimuth_ar15_spacer,Azimuth AR-15 Spacer
azimuth_compm4_sight,Azimuth CompM4
rk_b25_angled_mount,Rk B25 angled
rk_foregrip_mount,Rk foregrip
rk_short_foregrip_mount,Rk short foregrip
virticon_rm33_mount,Virticon RM33 RMR
rtm_pillau_tactical_grip,RTM Pillau Tactical
vectorworks_leap01_swo100_1.42_mount,"Vectorworks LEAP/01 SWO100 1.42"""
vectorworks_leap01_swo110_1.57_mount,"Vectorworks LEAP/01 SWO110 1.57"" Mount"
vectorworks_leap01_swo120_1.93_mount,"Vectorworks LEAP/01 SWO120 1.93"" Mount"
sig_sauer_bravo4_4x30,Sic Stürmer BRAVO4 4X30
sig_sauer_qd_1.41_cowitness_romeo3_riser,Sic Stürmer QD 1.41 co-witness Romeo 3
sig_sauer_romeo3_low_rise_mount,Sic Stürmer Romeo 3 Low-Rise
sig_sauer_romeo_cowitness_qd_mount,Sic Stürmer Romeo Co-witness QD Mount
sig_sauer_romeo4_mount,Sic Stürmer Romeo4
sig_sauer_romeo4_low,Sic Stürmer Romeo4 Low
sig_sauer_romeo4t_1/3_cowitness_mount,Sic Stürmer Romeo4T Lower Hex Bolt 1/3 Co-witness
sig_sauer_romeo5_low_mount,Sic Stürmer Romeo5 Low
sightmark_lopro_combo,Sightmark Lopro Combo
sightmark_lopro_mini_combo,Sightmark Lopro Mini Combo
stark_se_5_express_forward_grip,Stark SE-5 Express Forward
swampfox_picatinny_rmr_footprint_mount,Swampfox Picatinny RMR
swampfox_trihawk_3x30_prism_scope,Swampfox Trihawk 3x30 Prism
targetdown_bgv_mk46k_grip,Targetdown BGV-MK46K
timber_creek_enforcer_foregrip,Lumber River Enforcer
timber_creek_enforcer_handstop,Lumber River Enforcer
virticon_compact_acog_ac12041_mount,Virticon Compact ACOG AC12041 w/ Q-LOC Technology
virticon_rmr_ac32066_offset,Virticon RMR AC32066 45 degree
virticon_rx14_mount,Virticon RX14
virticon_srs02,Virticon SRS-02
virticon_ta51_flattop_mount,Virticon TA51 Thumbscrew Flattop
tristar_compact_carry_handle,Tristar Compact
true_view_rap4_offset_picatinny_mount,TRUE VIEW RAP4 45 Degree
true_view_rap4_offset_picatinny_mount_flipped,TRUE VIEW RAP4 45 Degree Flipped
unity_fast_lpvo_30mm_mount,Harmony FAST LPVO 30mm
unity_fast_micro_mount,Harmony Fast Micro
unity_fast_optics_riser,Harmony FAST Optics
atg_ms_qd_foregrip,ATG MS QD
atg_super_slim_vertical_foregrip,ATG Super Slim Vertical
volhov_1p87,Valday JSC optics PK-120 (1P87)
viking_tactical_uvg_grip,Viking Tactical UVG
vortex_optics_razor_amg_uh1_gen1_sight,Cyclone Optics Razor AMG UH-1 Gen I
vortex_optics_sport_cantilever_cm_102_30mm_2inch_offset,"Cyclone Optics Sport Cantilever 30mm CM-102 2"" Offset"
vortex_optics_sport_cantilever_cm_203_30mm_3inch_offset,"Cyclone Optics Sport Cantilever 30mm CM-203 3"" Offset"
gunther_mrs_red_dot_sight,Gunther MRS Reflex
veles_chelomo_pk06_kobra_sight,Veles ChelOMO PK-06 Kobra
veles_chelomo_prc_red_dot,Veles ChelOMO PRC
veles_chelomo_picatinny_mount_pkas,Veles ChelOMO PK-AS
veles_klesch_2p_lcu,Veles Klesch-2P + LCU
veles_perst_3_classic_gen4_green,"Veles Perst-3 ""Classic"" gen 4.0 (GREEN+)"
gbrs_group_lerna_picatinny_holotec_mount,GBRS Group Lerna Picatinny HOLOTEC
smite_industries_ar_picatinny_bipod_foregrip,Smite Industries AR Picatinny
smite_industries_bipod_foregrip_collapsed_legs,Smite Industries Bipod Foregrip Collapsed
smite_industries_bipod_foregrip_extended_legs,Smite Industries Bipod Foregrip Extended
smite_industries_cobra_tactical_foregrip,Smite Industries Cobra Tactical
vectorworks_peak01_fixed_front_ironsight,Vectorworks PEAK/01 Front Fixed Ironsight
vectorworks_peak01_fixed_rear_ironsight,Vectorworks PEAK/01 Rear Fixed Ironsight
squadsight_orion_3x_gen1_plus_nv_scope,Squadsight Orion 3X Gen1 Plus
bcm_gunfighter_mod3_picatinny_foregrip,BCM Gunfighter Mod 3 Picatinny
bcm_gunfighter_mod3_picatinny_foregrip_flipped,BCM Gunfighter Mod 3 Picatinny Flipped
bcm_gunfighter_mod3_picatinny_shortened_foregrip,BCM Gunfighter Mod 3 Picatinny Shortened
bcm_gunfighter_mod3_picatinny_shortened_foregrip_flipped,BCM Gunfighter Mod 3 Picatinny Shortened Flipped
axtell_defense_3inch_picatinny_rail_panel,Axtell Defense 3 inch Picatinny
axtell_defense_5inch_picatinny_rail_panel,Axtell Defense 5 inch Picatinny
axtell_defense_7inch_picatinny_rail_panel,Axtell Defense 7 inch Picatinny
axtell_defense_rubber_overmolding_vertical_foregrip,Axtell Defense Soft Touch Rubber Overmolding Vertical
bt_qd_nar_acro_22mm_mount,B&T QD NAR ACRO 22mm
bt_qd_nar_acro_30mm_mount,B&T QD NAR ACRO 30mm
bt_qd_nar_acro_39mm_mount,B&T QD NAR ACRO 39mm
sc_irregulars_omm_micro_mount,AT Refine OMM MICRO
sc_irregulars_omm_pic_mount,AT Refine OMM PIC Mount
volhov_zt310_picatinny_mount,Valday JSC Optics ZT-310 Picatinny
arbalet_patriot_k_pu_20mm_picatinny_mount,Arbalet Patriot K-PU 20mm Picatinny
virticon_rm34_ac12036_mount,Virticon RM34 AC12036
troy_battlesight_round_aperture,Troy Battlesight Round Rear Aperture
troy_battlesight_round_aperture_for_folded,Troy Battlesight Round Rear Aperture
troy_battlesight_std_front_post,Troy Battlesight Std. Front Post
troy_front_hk_battlesight,Troy Front Battlesight
troy_front_hk_battlesight_folded,Troy Front Battlesight Folded
troy_rear_battlesight,Troy Rear Battlesight
troy_rear_battlesight_folded,Troy Rear Battlesight Folded
troy_battlesight_picatinny_base,Troy Battlesight Base
axtell_defense_rock_lock_rail_mounted_fixed_front_sight,Axtell Defense Rock & Lock Rail Mounted Fixed
axtell_defense_rock_lock_a1.5_fixed_rear_sight,Axtell Defense Rock & Lock A1.5 Fixed
axtell_defense_fixed_sight_front_post,Axtell Defense Fixed
axtell_defense_fixed_sight_rear_aperture,Axtell Defense Fixed
firm_#40_rear_sight_base,F.I.R.M. #40 Base
firm_#40_rear_sight,F.I.R.M. #40
firm_#40_rear_sight_folded,F.I.R.M. #40 Folded
firm_#40_rear_sight_aperture,F.I.R.M. #40
dams_mangonel_front_sight,DAMS Mangonel
dams_mangonel_rear_sight,DAMS Mangonel
dams_mangonel_rear_sight_folded,DAMS Mangonel Folded
dams_mangonel_front_sight_folded,DAMS Mangonel Folded
dams_mangonel_rear_sight_base,DAMS Mangonel Base
dams_mangonel_front_sight_base,DAMS Mangonel Base
stellartac_saturn_scope_mount,StellarTAC SATURN Scope
cosmotac_vism_gen2_carry_handle,CosmoTac VISM Gen2
cosmotac_vism_micro_green_dot_red_laser_vdgrlb,CosmoTac VISM Micro Green Dot w/ Red Laser VDGRLB
cosmotac_vism_carry_handle_front_sight,CosmoTac VISM Carry Handle
cosmotac_vism_carry_handle_front_sight_folded,CosmoTac VISM Carry Handle Folded
holotec_ogl_tactical_laser_module,HOLOTEC OGL Tactical
holotec_ogl_access_point_cap,HOLOTEC OGL
holotec_ogl_lens_caps,HOLOTEC OGL
whitehouse_raid_xe_g18_high_power_laser_aiming_device,Whitehouse RAID Xe G18 High Power
whitehouse_raid_xe_g14_high_power_laser_aiming_device,Whitehouse RAID Xe G14 High Power
whitehouse_raid_xe_junction_box_legacy_crane_connector,Whitehouse RAID Xe Legacy Crane Connector
whitehouse_raid_xe_front_caps,Whitehouse RAID Xe Front
pac_azimuth_micro_nvg_high_rise_picatinny_mount,PAC Azimuth Micro NVG High Rise Picatinny Mount
sig_sauer_foxtrot1_flashlight,Sic Stürmer FOXTROT1
npz_pso_1_4x24_picatinny_scope,NPZ PSO-1 4x24 Picatinny
npz_pso_rear_cup,NPZ PSO
npz_pso_front_cup,NPZ PSO Front Cup
cgr_klra,CGR Klra
cgr_klra_flipped,CGR Klra Flipped
cgr_jolly_roger,CGR Jolly Roger
cgr_jolly_roger_flipped,CGR Jolly Roger Flipped
cgr_ace,CGR Ace Negev
cgr_ace_flipped,CGR Ace Negev Flipped
cgr_abomination,CGR Abomination
cgr_abomination_flipped,CGR Abomination Flipped
cgr_punisher,CGR Punisher
cgr_punisher_flipped,CGR Punisher Flipped
cgr_dingler,CGR Dingler
cgr_dingler_flipped,CGR Dingler Flipped
cgr_aeon,CGR Aeon
cgr_aeon_flipped,CGR Aeon Flipped
kf_416_2mm_flip_up_sight,KF416 2mm Flip Up
kf_416_2mm_flip_up_sight_aperture,Default
kf_416_2mm_flip_up_sight_aperture_folded,Folded
validus_la_stock,Validus LA
kf_416_slim_line_stock,KF416 Slim Line
kf_416_e1_stock,KF416 E1
si_viper_mod1_stock,Smite Industries Viper MOD1
magtap_moe_carbine_stock,Magtap MOE Carbine
ar_tr2_stock,AR TR2
vyctor_emod_stock,VLtor Emod
magtap_prs_gen3_stock,Magtap PRS Gen3
hera_arms_ccs_stock,Eris Arms CSS
ak12_gen1_std_stock,Kazarov Group AK-12 Gen 1
hart_m4ss_stock,Hart M4SS
lmt_sopmod,LMT Sopmod
whtnls_xm177_car,Whitnalls XM177 CAR
thordsen_frs15_cover_stock,Thordsen FRS-15 Cover
magtap_str_carbine_stock,Magtap STR Carbine
magtap_moe_sl_k_carbine_stock,Magtap MOE SL-K Carbine
axtell_defense_collapsible_milspec_buttstock,Axtell Defense Collapsible Milspec
axtell_defense_concave_buttpad,Axtell Defense Concave
kazarov_ak74_rear_trunnion,Kazarov AK-74
kazarov_akm_rear_trunnion,Kazarov AKM
kazarov_ak74_spring,Kazarov AK-74
kazarov_akm_spring,Kazarov AKM
kazarov_aks74_spring,Kazarov AKS-74
pro_tactical_uas_akn_p,P.R.O Tactical UAS AKN P
kazarov_ak74_polymer_6p20_sb7,Kazarov AK-74 Polymer 6P20 Sb.7
kazarov_ak74_wooden_6p20_sb5,Kazarov AK-74 Wooden 6P20 Sb.5
kazarov_akm_wooden_6p1_sb5,Kazarov AKM Wooden 6P1 Sb.5
veles_akm_ak74_pt_lock,Veles AKM/AK74 PT Lock
me_adapter,ME Adapter
tas_akts_akm_ak74_buffer_tube,TAS AKTS AKM/AK74 Buffer Tube
tas_cbs_ar15_stock,TAS CBS AR-15
ellipse_30_fixed_ak_triangle_stock,Ellipse 30 Fixed AK Triangle
custom_3d_printed_fixed_acr_stock_adapter,Custom 3D Printed Fixed ACR
weapon_dynamics_ak_to_m4_gen2_stock_adapter,Weapon Dynamics AK to M4 Gen2
kazarov_ak74m_metallic_stock_buttpad,Kazarov AK Metallic Stock
kazarov_ak_metallic_stock_buttpad,Kazarov AK Metallic Stock
atg_ak_rb_k7btp01_combat_rubber_stock_buttpad_ak74,ATG AK RB-K7BTP01 Combat Rubber Stock
atg_ak_rb_k7btp01_combat_rubber_stock_buttpad_pp19,ATG AK RB-K7BTP01 Combat Rubber Stock
magtap_zhukov_s_main_body,Magtap ZHUKOV-S Main Body
magtap_zhukov_s_extendable_part,Magtap ZHUKOV-S Extendable Part
magtap_zhukov_s_press_part,Magtap ZHUKOV-S Press Part
magtap_moe_a_frame_fixed_ak_stock,Magtap MOE A-Frame Fixed AK
magtap_moe_a_frame_stock_buttpad,Magtap MOE A-Frame Stock
hera_arms_cqr_gen1_ak_stock,Eris Arms CQR Gen1 AK
hera_arms_cqr_ak_buttpad,Eris Arms CQR Gen1 AK
hera_arms_cqr_ak_15mm_spacer,Eris Arms CQR Gen1 AK 15mm
hera_arms_cqr_ak_30mm_spacer,Eris Arms CQR Gen1 AK 30mm
hera_arms_cqr_ak_45mm_spacer,Eris Arms CQR Gen1 AK 45mm
veles_chelomo_pk_as,Veles ChelOMO PK-AS Red Dot Sight
rs_regulate_akm_30mm_scope_mount,RS Regulate AKM 30mm Upper
rs_regulate_akr_1913_railed_0moa_mount,RS Regulate AKR 1913 0 MOA Upper
rs_regulate_akrk_mini_picatinny_mount,RS Regulate AKRK Mini Picatinny Upper
rs_regulate_akmp_deltapoint_mount,RS Regulate AKMP Deltapoint
npz_1p78_1_2.8x_kashtan_scope,NPZ 1P78-1 2.8X Kashtan
npz_picatinny_bracket_mount_427,NPZ Picatinny Bracket #427
virticon_sro_reflex_sight,Virticon SRO Reflex
virticon_rmr_rm06_type2_adj_led_reflex,Virticon RM06 RMR Type2 Adjustable LED Reflex
virticon_rmr_rm05_dual_illuminated_reflex,Virticon RM05 RMR Dual Illuminated Reflex
virticon_rmr_rm01_type2_auto_led_reflex,Virticon RM01 RMR Type2 Auto LED Reflex
swampfox_kingslayer_micro_reflex_sight,Swampfox Kingslayer Micro Reflex
virticon_compact_acog_3x24_ta50c_red,Virticon Compact ACOG 3x24 TA50-C Red Reticle Version
virticon_compact_acog_3x24_ta50c_green,Virticon Compact ACOG 3x24 TA50-C Red Reticle Version
virticon_rm34_rmr_adapter,Virticon RM34 RMR Adapter
virticon_rx01/06_series_1x24_reflex_sight,Virticon RX01/06 Series 1x24 Reflex
virticon_rx01/06_series_1x24_reflex_sight_ch,Virticon RX01/06 Series 1x24 Reflex
elcan_alt_view,Elcan alt view
pac_front_sight_folded,PAC Folded
pac_front_sight,PAC
pac_micro_front_sight,PAC Micro
pac_micro_front_sight_folded,PAC Micro Folded
pac_micro_rear_sight_folded,PAC Micro Folded
pac_micro_rear_sight,PAC Micro
pac_rear_sight_folded,PAC Folded
pac_rear_sight,PAC
magtap_mbus_gen2_rear_top_folded,Magtap MBUS Gen2 RS Folded
magtap_mbus_gen2_rear_top,Magtap MBUS Gen2 RS
magtap_mbus_gen2_front_top,Magtap MBUS Gen2 FS
magtap_mbus_gen2_front_top_folded,Magtap MBUS Gen2 FS Folded
aeroknox_ax15_front_sight,Arrow AX // 15
aeroknox_ax15_front_sight_folded,Arrow AX // 15 Folded
aeroknox_ax15_rear_sight,Arrow AX // 15
aeroknox_ax15_rear_sight_folded,Arrow AX // 15 Folded
fab_tech_usgi_rear_buis_aperture_folded,FabTech USGI Rear BUIS Folded
fab_tech_usgi_rear_buis_aperture,MaTech USGI Rear BUIS
theoretical_barrel,Technically a barrel
alistair_ar332_prism_3x_sight,Alistair AR-332 Prism 3x
alistair_ar536_prism_5x_sight,Alistair AR-536 Prism 5x
virticon_acog_ta11d_bac,Virticon ACOG TA11D BAC
virticon_acog_ta01_4x_scope,Virticon ACOG TA01 4x Scope
virticon_acog_ta31_comspec_4x_scope,Virticon ACOG TA31 Comspec 4x Scope
virticon_acog_ta31_milspec_4x_scope,Virticon ACOG TA31 Milspec 4x Scope
firm_#02_m16_scope_mount,F.I.R.M. #02 M16
virticon_acog_ta01_4x_scope_carry_handle,Virticon ACOG TA01 4x Scope
virticon_acog_ta31_comspec_4x_scope_carry_handle,Virticon ACOG TA31 Comspec 4x Scope
virticon_acog_ta31_milspec_4x_scope_carry_handle,Virticon ACOG TA31 Milspec 4x Scope
alistair_ar332_prism_3x_sight_carry_handle,Alistair AR-332 Prism 3x
alistair_ar536_prism_5x_sight_carry_handle,Alistair AR-536 Prism 5x
pri_ar15_std_carry_handle_mount,PRI AR-15 Standard Carry Handle
m16_m4_carryhandle_z_rail,M16/M4 Carry Handle Z-Rail
virticon_rx10_gooseneck_mount,Virticon RX10 Gooseneck
strauss_mark_4_carry_handle_mount,Strauss Mark 4 Carry Handle Mount
virticon_acog_ta11d_bac_carry_handle,Virticon ACOG TA11D BAC
hart_retro_a1_scope_carry_handle_mount,Hart Retro A1 Scope Carry Handle
ultracross_4x20_scope_carry_handle_mount,UltraCROSS 4x20 Scope Carry Handle
insight_technology_an_paq_4a_carry_handle_mount,Percept Technology AN/PAQ-4A Carry Handle
stellartac_saturn_4x_red_scope,StellarTAC SATURN 4x Red Fiber Scope
stellartac_saturn_4x_green_scope,StellarTAC SATURN 4x Green Fiber Scope
insight_technology_an_paq_4a_ir_laser,Percept Technology AN/PAQ-4A
magtap_mbus_gen2_frontsight_post,Magtap MBUS Gen2 Sight
magtap_rearsight_post200m,Magtap MBUS Gen2 200m
magtap_rearsight_post600m,Magtap MBUS Gen2 600m
vectorworks_peak01_front_post,Vectorworks PEAK/01
vectorworks_peak01_rear_aperture,Vectorworks PEAK/01
stanag_30r_plate,STANAG 30R Mag
aeroknox_ax_mlok_cover,Arrow AX
aeroknox_ax_mlok_cover_flipped,Arrow AX Flipped
aeroknox_ax_mlok_grip,Arrow AX MLOK Grip
bcm_gunfighter_kag,BCM Gunfighter KAG MLOK
bcm_gunfighter_mod3_mlok_foregrip,BCM Gunfighter Mod 3 MLOK
bcm_gunfighter_mod3_mlok_foregrip_flipped,BCM Gunfighter Mod 3 MLOK Flipped
bcm_gunfighter_mod3_mlok_shortened_foregrip,BCM Gunfighter Mod 3 MLOK Shortened
bcm_gunfighter_mod3_mlok_shortened_foregrip_flipped,BCM Gunfighter Mod 3 MLOK Shortened Flipped
dd_enhanced_mvg,AD Enhanced MVG
generic_11_slot_mlok_rail_bottom,Generic 11 Slot MLOK
generic_11_slot_mlok_rail_side,Generic 11 Slot MLOK
generic_11_slot_mlok_rail_top,Generic 11 Slot MLOK
generic_13_slot_mlok_rail_bottom,Generic 13 Slot MLOK
generic_13_slot_mlok_rail_side,Generic 13 Slot MLOK
generic_13_slot_mlok_rail_top,Generic 13 Slot MLOK
generic_5_slot_mlok_rail_bottom,Generic 5 Slot MLOK
generic_5_slot_mlok_rail_side,Generic 5 Slot MLOK
generic_5_slot_mlok_rail_top,Generic 5 Slot MLOK
generic_7_slot_mlok_rail_bottom,Generic 7 Slot MLOK
generic_7_slot_mlok_rail_side,Generic 7 Slot MLOK
generic_7_slot_mlok_rail_top,Generic 7 Slot MLOK
generic_9_slot_mlok_rail_bottom,Generic 9 Slot MLOK
generic_9_slot_mlok_rail_side,Generic 9 Slot MLOK
generic_9_slot_mlok_rail_top,Generic 9 Slot MLOK
kinect_development_group_qd_3slot_rail_bottom,Kinect Development Group QD 3-Slot MLOK
kinect_development_group_qd_3slot_rail_side,Kinect Development Group QD 3-Slot MLOK
kinect_development_group_qd_3slot_rail_top,Kinect Development Group QD 3-Slot MLOK
kinect_development_group_qd_7slot_rail_top,Kinect Development Group QD 7-Slot MLOK
kinect_development_group_qd_7slot_rail_bottom,Kinect Development Group QD 7-Slot MLOK
kinect_development_group_qd_7slot_rail_side,Kinect Development Group QD 7-Slot MLOK
magtap_mlok_1.6_bottom,Magtap mlok 1.6
magtap_mlok_1.6_top,Magtap mlok 1.6
magtap_mlok_1.6_side,Magtap mlok 1.6
magtap_mvg_mag597_foregrip,Magtap MVG MAG597
okb_crazy_romanian_mlok_full_grip,OKB Crazy Romanian MLOK Full
okb_crazy_romanian_mlok_half_grip,OKB Crazy Romanian MLOK Half
railscales_rsb_vg,RailScales RSB Vertical Grip
si_link_curved_mlok_fg,Smite Industries LINK Curved MLOK
magtap_mlok_afg_grip,Magtap MLOK AFG
pac_mlok_3inch_5_slot_rail_section_bottom,PAC MLOK 3 Inch 5-Slot Rail Section
pac_mlok_3inch_5_slot_rail_section_side,PAC MLOK 3 Inch 5-Slot Rail Section
pac_mlok_3inch_5_slot_rail_section_top,PAC MLOK 3 Inch 5-Slot Rail Section
nariakira_mlok_fingerstop,Nariakira MLOK Fingerstop
veles_npn_2_rail_cover,Veles NPN-2
veles_npn_2_half_rail_cover,Veles NPN-2 Half
veles_b_2l_34mm_rail_side,Veles B-2L 34mm Rail
veles_b_2l_34mm_rail_top,Veles B-2L 34mm Rail
veles_b_2l_34mm_rail_grips,Veles B-2L 34mm Rail
veles_b_2u_75mm_rail_side,Veles B-2U 75mm Rail
veles_b_2u_75mm_rail_top,Veles B-2U 75mm Rail
veles_b_2u_75mm_rail_grips,Veles B-2U 75mm Rail
veles_rl_1_handstop,Veles RL-1
magtap_std_m3_bottom_plate,Magtap Standard M3
magtap_ranger_m3_bottom_plate,Magtap Ranger M3
magtap_ranger_ak74/akm_bottom_plate,Magtap Ranger AK74/AKM
magtap_pmag_ak74/akm_bottom_plate,Magtap PMAG AK74/AKM
aeroknox_plus_5_pmag_mag_extension,Arrow PLUS // 5 PMAG Extension
kazarov_ak74_mag_bottomplate,Kazarov AK74
fireline_5_rnd_545_223_ak_mag_extension,FireLine +5 5.45 / .223 AK Mag Extension
kazarov_akm_steel_magazine_bottom_plate,Kazarov AKM Steel
holotec_magn_7mm_riser_1,HOLOTEC Magnifier 7mm Riser
holotec_magn_7mm_riser_2,HOLOTEC Magnifier 7mm Riser
holotec_g33_3x_magnifier,HOLOTEC G33 3X
volhov_zt310_offset_mount,Valday JSC Optics ZT-310 Picatinny
volhov_jsc_optics_1p90_zt310_3x_magnifier,Valday JSC Optics 1P90 (ZT-310) 3X
holotec_sts_pivot_mount,HOLOTEC STS Pivot Mount
15mm_cqr,CQR 15mm
30mm_cqr,CQR 30mm
45mm_cqr,CQR 45mm
