,,new,,,,,,,,,,,,,,,,,,,,,,,,
hart_m4a1_5.56x45_317mm_govt_c_barrel,"Hart Government 12.5"" Carbine Length Gastube 5.56x45",1,0.54,-3,-3,,0.09,-0.04,-34,,,1200,-6.563333333,,0.12,12.5,,0.56,0.02,0.5425,0.09,,338,2028,,
primabarrels_ar15_modern_series_5.56x45_292mm_govt_c_barrel,"Ballistic Advantage Modern Series Government 11.5"" Carbine Length Gastube 5.56x45",2,0.5,-2,-3,,0.13,-0.07,-72,,,1100,-6.19,,0.12,11.5,,0.52,0.02,0.5055,0.135,,155,930,,
hart_m4a1_5.56x45_267mm_govt_c_barrel,"Hart Government 10.5"" Carbine Length Gastube 5.56x45",3,0.47,-2,-1,,0.18,-0.1,-113,,,1200,-6.476666667,,0.12,10.5,,0.49,0.02,0.4685,0.18,,299,1794,,
hart_m4a1_5.56x45_190mm_govt_p_barrel,"Hart Government 7.5"" Pistol Length Gastube 5.56x45",4,0.35,-1,0,,0.3,-0.15,-266,,0.03,1300,-6.086666667,,0.09,7.5,,0.35,0.01,0.3475,0.315,,,0,,
quix_tacticals_ar15_127mm_5.56_nitride_barrel_custom_gastube,Vertiforce Tactical AR15 5in 5.56 Nitride Barrel Custom Gastube,5,0.24,0,1,,0.4,-0.2,-450,,0.063,1400,-5.9,,0.07,5,,0.25,0,0.245,0.4275,,149.95,899.7,,
custom_2inch_ar15_barrel,Custom 2in AR15 Barrel,6,0.12,5,5,,5,-0.4,-866,,0.125,2000,-35.28666667,,0.05,2,-0.01,0.11,0,0.124,0.5625,,,0,,
,,,,,,,,,,,,,0,,,,,,,0.06,0.6525,,,,,
kf_416c_9.0i_barrel,"KF416C 9.0""",4,0.4,3,3,,0.25,-0.12,-140,,,1000,-11.11666667,,0.04,9,0.01,0.35,,0.403,0.2475,,,,,
kf_416d_10.4i_barrel,"KF416D 10.4""",3,0.46,2,2,,0.18,-0.09,-100,,,1000,-11.13333333,,0.04,10.4,0.02,0.36,,0.4648,0.1845,,,,,
kf_416a5_11i_barrel,"KF416A5 11""",2,0.47,1,1,,0.15,-0.07,-80,,,1000,-10.51666667,,0.04,11,0,0.36,,0.467,0.1575,,,,,
kf_416a5_12.5i_barrel,"KF416A5 12.5""",1,0.52,1,1,,0.08,-0.03,-30,,,1000,-11.6,,0.04,12.5,0,0.41,,0.5225,0.09,,,,,
kf_416d_14.5i_barrel,"KF416D 14.5""",0,0.65,0,0,,0,0.03,50,,,0,-12.53333333,,0.04,14.5,0.05,0.53,,0.6465,0,,,,,
kf_416a5_14.5i_barrel,"KF416A5 14.5""",0,0.62,0,0,,-0.02,0.03,50,,,0,-11.83333333,,0.04,14.5,0.02,0.5,,0.6165,0,,,,,
kf_416d_16.5i_barrel,"KF416D 16.5""",-3,0.72,-2,-2,,-0.08,0.11,100,,,1000,-12.76666667,,0.04,16.5,0.05,0.59,,0.7205,-0.09,,,,,
kf_416a5_16.5i_barrel,"KF416A5 16.5""",-3,0.69,-2,-2,,-0.1,0.11,100,,,1000,-12.06666667,,0.04,16.5,0.02,0.56,,0.6905,-0.09,,,,,
kf_416d_20i_barrel,"KF416D 20""",-7,0.85,-5,-5,,-0.24,0.25,190,,,2000,-12.66666667,,0.04,20,0.05,0.71,,0.85,-0.2475,,,,,
kf_416a5_20i_barrel,"KF416A5 20""",-7,0.82,-5,-5,,-0.26,0.25,190,,,2000,-11.96666667,,0.04,20,0.02,0.68,,0.82,-0.2475,,,,,
,,,,,,,,,,,,,0,,,,,0,,0.06,0.6525,,,,,
steyr_aug_hbar_620mm_heavy_barrel,Steyr AUG HBAR 5.56x45 620mm Heavy LMG,-10,1.01,-8,-8,,0.1,0.28,269,,,2000,-15.80333333,,0.1,24.4094,0.1,1.01,,1.0631478,-0.445923,,,,,
steyr_aug_508mm_barrel,Steyr AUG A3 5.56x45 508mm,-4,0.8,-5,-5,,-0.24,0.24,179,,,1000,-8.803333333,,0.1,20,,0.76,,0.8,-0.2475,,,,,
steyr_aug_457mm_barrel,Steyr AUG A3 5.56x45 457mm,-2,0.72,-3,-3,,-0.15,0.16,131,,,750,-9.413333333,,0.1,17.9921,,0.69,,0.7257077,-0.1571445,,,,,
steyr_aug_407mm_barrel,Steyr AUG A3 5.56x45 407mm,0,0.65,-1,-1,,-0.06,0.1,79,,,0,-10.03666667,,0.1,16.0236,,0.63,,0.6528732,-0.068562,,,,,
steyr_aug_350mm_barrel,Steyr AUG A3 5.56x45 350mm,2,0.57,0,0,,0.03,0,10,,,600,-9.516666667,,0.1,13.7795,,0.55,,0.5698415,0.0324225,,,,,
,,,,,,,,,,,,,0,,,,,0,,0.06,,,,,,
fn_scar_l_457mm_barrel,FN SCAR-L 457mm,-5,0.73,-3,-4,,-0.1,0.14,131,,,1500,-12.46333333,,0.14,17.9921,,0.73,,0.7257077,,,,,,
fn_scar_l_355mm_barrel,FN SCAR-L 355mm,0,0.6,0,0,,0,0,17,,,1000,-11.94333333,,0.14,13.9764,,0.6,,0.5771268,,,,,,
fn_scar_l_254mm_barrel,FN SCAR-L 254mm,2,0.47,1,2,,0.2,-0.08,-135,,,1200,-11.65,,0.14,10,,0.47,,0.43,,,,,,
,,,,,,,,,,,,,0,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
