pac_mre_railed_front_filler_tube,PAC MRE Railed Front Filler Tube,1,0.1,,-1,,,,,,,500,-0.4
pac_free_float_ras_rifle_12inch_handguard,"PAC Free Float RAS Rifle 12""",7,0.33,-10,-17,,,,,,,900,18.6
pac_free_float_ras_medium_long_10.375inch_handguard,"PAC Free Float RAS Medium Long 10.375""",9,0.28,-8,-15,,,,,,,1200,18.8
pac_free_float_ras_carbine_7inch_handguard,"PAC Free Float RAS Carbine 7""",11,0.21,-5,-12,,,,,,,750,18
quix_tacticals_ar15_4inch_ultralight_mlok_freefloat_hg,"Quix Tacticals AR-15 Ultralight MLOK 4""",14,0.13,-2,-5,,,,,,,700,16
magtap_moe_sl_carbine_handguard,Magtap MOE SL Carbine-Length,14,0.21,-4,-8,,,,,,,500,17.8
magtap_moe_sl_mid_handguard,Magtap MOE SL Mid-Length,12,0.25,-6,-10,,,,,,,550,17.8
monstrum_tactical_a_series_free_float_10inch_mlok_handguard,"Monstrum Tactical A Series Free Float 10"" MLOK",10,0.27,-8,-12,,,,,,,700,18.2
monstrum_tactical_a_series_free_float_12inch_mlok_handguard,"Monstrum Tactical A Series Free Float 12"" MLOK",9,0.29,-9,-13,,,,,,,1000,18.2
monstrum_tactical_a_series_free_float_15inch_mlok_handguard,"Monstrum Tactical A Series Free Float 15"" MLOK",6,0.34,-11,-17,,,,,,,1500,18.2
monstrum_tactical_a_series_free_float_16.5inch_mlok_handguard,"Monstrum Tactical A Series Free Float 16.5"" MLOK",5,0.36,-12,-18,,,,,,,1650,18.2
sai_ar15_qd_10inch_handguard,"SAI AR-15 10"" QD",9,0.29,-10,-12,,,,,,,1000,18.4
sai_ar15_qd_14.5inch_handguard,"SAI AR-15 14.5"" QD",6,0.36,-12,-16,,,,,,,1200,18
stngr_lvnc_10i,"STRYKR Lvnc 10""",11,0.28,-7,-12,,,,,,,950,18.2
stngr_hwk_15i,"STRYKR Hkw 15""",8,0.34,-10,-15,,,,,,,900,18.2
aeroknox_ax15_10.5inch_handguard,"Arrow AX // 15 AR-15 10.5""",14,0.24,-5,-9,,,,,,,800,18.6
ardian_weapons_ar15_model_1_m1curgh_10inch_handguard,"Ardian Weapons AR-15 Model 1 M1CURGH 10""",12,0.28,-9,-11,,,,,,,1500,20.2
nowa_n4_nsr_gen3_handguard_9.15inch,"Nowa N4 NSR Gen3 AR-15 9.15""",12,0.24,-8,-10,,,,,,,1100,19.6
freedom_arms_builder_series_gen1_7inch_handguard,"Freedom Arms Builder Series Gen 1 7""",15,0.2,-6,-5,,,,,,,700,18.8
freedom_arms_builder_series_gen1_10inch_handguard,"Freedom Arms Builder Series Gen 1 10""",13,0.25,-8,-7,,,,,,,750,18.6
freedom_arms_builder_series_gen1_12inch_handguard,"Freedom Arms Builder Series Gen 1 12""",11,0.28,-10,-9,,,,,,,800,18.8
freedom_arms_builder_series_gen1_15inch_handguard,"Freedom Arms Builder Series Gen 1 15""",9,0.33,-12,-11,,,,,,,900,18.6
schmidt_smr_mk4_federal_mlok_10inch,"Schmidt Super Modular Rail MK4 Federal M-LOK 10""",10,0.31,-12,-10,,,,,,,1100,19.4
schmidt_smr_mk16_mlok_urg_i_9.3inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 9.3""",11,0.26,-11,-8,,,,,,,1000,19.4
schmidt_smr_mk16_mlok_urg_i_10.5inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 10.5""",10,0.29,-12,-9,,,,,,,1050,19.2
schmidt_smr_mk16_mlok_urg_i_13.5inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 13.5""",8,0.33,-13,-12,,,,,,,1100,19
schmidt_smr_mk16_mlok_urg_i_15inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 15""",7,0.36,-15,-12,,,,,,,1200,19
pac_urx_6_mlok_13inch_handguard,"PAC URX 6 MLOK 13""",9,0.33,-10,-15,,,,,,,1500,19.4
pac_urx_4_mlok_8.5inch_handguard,"PAC URX 4 MLOK 8.5""",13,0.24,-7,-9,,,,,,,1100,19.2
pac_urx_4_mlok_10.75inch_handguard,"PAC URX 4 MLOK 10.75""",11,0.28,-9,-11,,,,,,,1150,19.2
pac_urx_4_mlok_13inch_handguard,"PAC URX 4 MLOK 13""",9,0.32,-11,-13,,,,,,,1250,19.2
pac_urx_4_mlok_14.5inch_handguard,"PAC URX 4 MLOK 14.5""",8,0.35,-12,-14,,,,,,,1300,19
northeast_industries_supp_series_sp7m_mlok_handguard,"Northeast Industries Suppressor Series SP7M MLOK 7.25""",14,0.24,-5,-10,,,,,,,1300,19.2
northeast_industries_supp_series_sp9m_mlok_handguard,"Northeast Industries Suppressor Series SP9M MLOK 9.25""",12,0.27,-6,-13,,,,,,,1350,19.2
northeast_industries_supp_series_sp10m_mlok_handguard,"Northeast Industries Suppressor Series SP10M MLOK 10.5""",11,0.3,-7,-15,,,,,,,1400,19.6
northeast_industries_supp_series_sp12m_mlok_handguard,"Northeast Industries Suppressor Series SP12M MLOK 12.625""",9,0.34,-9,-17,,,,,,,1450,19.6
northeast_industries_supp_series_sp15m_mlok_handguard,"Northeast Industries Suppressor Series SP15M MLOK 15""",7,0.38,-11,-18,,,,,,,1500,19
northeast_industries_supp_series_sp18m_mlok_handguard,"Northeast Industries Suppressor Series SP18M MLOK 18""",5,0.42,-12,-20,,,,,,,1600,18.2
,,,,,,,,,,,,,0
mk10_bottom_adapter_large,MK10RL Large,-1,0.1,2,2,,,,,,,0,-5.8
mk10_bottom_adapter_small,MK10RL Small,-1,0.04,2,2,,,,,,,0,-4.6
mk10_side_adapter_large,MK10RL Large,-1,0.1,,,,,,,,,0,-3
mk10_side_adapter_small,MK10RL Small,-1,0.04,,,,,,,,,0,-1.8
mk10_top_adapter_large,MK10RL Large,-1,0.1,,,,,,,,,0,-3
,,,,,,,,,,,,,0
fab_defense_upr_16_4_bottom,FAB Defense UPR 16/4 Picatinny Rail,-3,0.06,2,2,,,,,,,400,-7
ncstar_marsv2_bottom,NcStar MARSV2 Picatinny Rail,-2,0.07,1,5,,,,,,,300,-7.2
fab_defense_upr_16_4_top,FAB Defense UPR 16/4 Picatinny Rail,-3,0.06,,,,,,,,,400,-4.2
ncstar_marsv2_top,NcStar MARSV2 Picatinny Rail,-2,0.07,,,,,,,,,300,-3.4
,,,,,,,,,,,,,0
warsport_handguard_long_accessory_rail_bottom,Warsport Long Accessory Rail,-2,0.07,,,,,,,,,700,-3.4
warsport_handguard_long_accessory_rail_side,Warsport Long Accessory Rail,-2,0.07,,,,,,,,,700,-3.4
warsport_handguard_short_accessory_rail_bottom,Warsport Short Accessory Rail,-1,0.04,,,,,,,,,300,-1.8
warsport_handguard_short_accessory_rail_side,Warsport Short Accessory Rail,-1,0.04,,,,,,,,,300,-1.8
,,,,,,,,,,,,,0
ad_m4a1_raf_3_9.5_handguard,AD M4A1 RAF 3 9.5,11,0.29,-10,-10,,,,,,,1200,19.2
ad_m4a1_raf_3_10.5_handguard ,AD M4A1 RAF 3 10.5,10,0.3,-11,-11,,,,,,,1250,19.4
ad_m4a1_raf_3_12.5_handguard,AD M4A1 RAF 3 12.5,9,0.35,-12,-13,,,,,,,1300,19.4
ad_m4a1_raf_3_13_fsp_handguard,AD M4A1 RAF 3 13 FSP,9,0.34,-12,-12,,,,,,,1300,19
