,,NEW,,,,,,,,,,,,,,,,,,,
tsniitochmash_pbs_4_5.45x39_suppressor,TochMash PBS-4 5.45x39,-5,0.32,-14,-18,,-0.12,0.12,80,,,2000,-0.18,15.5,,,0.03,700,0.400377,610,0.3527571
hexagon545,Hexagon 5.45,-4,0.3,-16,-15,,-0.1,0.1,70,,,2000,-0.16,15.95,,,0.03,462,0.27444882,,0.03
hexagon_dtkp_ak74_5.45x39_suppressor,Hex Tactical DTKP AK74 5.45x39,-3,0.27,-17,-13,,-0.08,0.1,60,,,3000,-0.16,16.9,,,0.03,412,0.24799332,513,0.30143343
hexagon_dtkp_ak12_5.45x39_suppressor,Hex Tactical DTKP AK12 5.45x39,-3,0.28,-17,-13,,-0.08,0.1,60,,,3000,-0.16,16.7,,,0.03,,0.03,,0.03
hexagon_dtkp_ak74_shortened_5.45x39_suppressor,Hex Tactical DTKP AK74 Shortened 5.45x39,-2,0.22,-16,-12,,-0.05,0.06,40,,,3500,-0.11,16.05,,,0.03,,0.03,428,0.25645908
hexagon_dtkp_ak12_shortened_5.45x39_suppressor,Hex Tactical DTKP AK12 Shortened 5.45x39,-2,0.23,-16,-12,,-0.05,0.06,40,,,3500,-0.11,15.85,,,0.03,,0.03,,0.03
kalashnikov_concern_6ch60_ak12_suppressor,Kalashnikov Concern 6Ch60 AK-12,-5,0.3,-15,-17,,-0.12,0.12,80,,,1000,-0.19,16.15,,,0.03,450,0.2680995,,0.03
,,,,,,,,,,,,,,0,,,0.03,,,,
legal_arsenal_bayonet_thread_adapter_for_ak12,Legal Arsenal Bayonet Thread Adapter for AK-12,0,0.03,0,0,,0,0,0,,,1500,0,-0.6,,,0.03,,,,
ga_24_1/2,Griffin Armaments 24-1/2,-1,0.04,1,1,,0.05,0,10,,,1000,0,-3.65,,,0.03,,,,
i_24_14_ta,Infinite 24mm-1/2mm,-1,0.06,0,2,,0.05,0,10,,,1000,0,-3.85,,,0.03,,,,
,,,,,,,,,,,,,,0,,,0.03,,,,
,Surefire SOCOM556 SFMB Muzzle Break,-1,0.09,-17,-11,,0,0,0,,,700,,17.4,,3.9,0.0885,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
