fn ,Proposed Rename,Renamed Items Featured,Final?,Opinion,Needs Logo?,Status,,
Burris,Alistair,"AR-536 Prism 5x, AR-332 Prism 3x, AR-536 Prism 5x, AR-332 Prism 3x, AR PRB, AR-P.E.P.R.™,",YES,OK,YES,AWAITING LOGO,,
C&H Precision,D&L Precision,,YES,i dont give a damn,YES,DONE,,
CAA (Command Arms Accessories),TAS (TactiCore Armament Systems),"AKSFSA AK74M/AK100 Buffer Tube, RS47 Side, RS47 Lower (2), RS47 Upper Handguard, HX-5 MP5, AKTS AKM/AK74 Buffer Tube, CBS AR-15,",YES,OK,YES,AWAITING LOGO,,
Carlson's Choke Tubes,Wesson Choke Specialists,Carlson's Slug 610mm w/ cantilever,YES,OK,NO,DONE,,
CBC (Companhia Brasileira de Cartuchos),Rio Caliber Group,5.56x45 CBC M196 55gr Red Tracer,YES,OK,NO,DONE,,
Chefur Custom,Hahn Precision Works ,Chefur Custom PM 9x18 110mm Threaded,YES,OK,NO,DONE,,
Choate Machine & Tool,Cartman Tool&Die,MP5/HK94 Choate,YES,OK,NO,DONE,,
CMC Triggers,Fort Worth Manufacturing Triggers,CMC drop-in,YES,OK,NO,DONE,,
CNC Warrior,CNC Arms,,YES,OK,NO,DONE,,
Corvus Defensio,Aquila Defensio,aug aftermarket,YES,OK,YES,AWAITING LOGO COMMISSION,,
Cosmic Tactical,StellarTAC,4x Red Fiber Scope 4x Green Fiber Scope Scope,YES,OK,UNSURE,UNSURE,,
CRH Customs,Ellipse 30,CRH Customs Fixed AK Triangle,YES,OK,NO,DONE,,
Daniel Defense,Axtell Defence,,YES,OK,YES,AWAITING MODEL EDIT,,
Deadshot Barrels,Barreltech CNC Mfg,"FN SCAR 20 Spiral 20"" Threaded, FN SCAR 20 Spiral 16"" Threaded",YES,OK,NO,DONE,,
Delta-Tek,Sigma-Tek,"DPMN, DTK AK IPSC, DPM, Plank",YES,OK,NO,DONE,,
DLP Tactical,Virginia Gear Tactical,TT DLP Tactical Precision LAM-module,YES,OK,NO,DONE,,
DoubleStar Corp.,StarSurp Corp.,"AK AR-15 Grip adapter, M4 SOCOM Gen4, M4 SOCOM Gen4",YES,OK,NO,DONE,,
Dozor,Khorovod,Dozor PM (Grip),YES,OK,NO,DONE,,
DPMS (Defense Procurement Manufacturing Services) Panther Arms,Defense Acquisition Machining Services,Front & Rear AR-15 Sights,YES,OK,YES,AWAITING LOGO,,
DURAMAG,EVERMAG,,YES,,NO,DONE,,
ELCAN,RECAN (Renz Elsholtz CANada),,,,,,,
Emissary DEV,Courier DEV,handstops,YES,,,Can't find any models,,
Enfield (RSAF),Sheffield,,,,,,,
Eotech,HoloTec,optics/lasers,YES,OK,YES,DONE,,
ERGO Grips,DEXGRIP,"Deluxe AR-15 Suregrip, M4 Forward Picatinny, Deluxe Suregrip, ",YES,OK,NO,DONE,,
FAB Defense,P.R.O. Tactical (Precision Rifle Optics),"PM-G, UAS AKN P, Lightweight Vertical, UPR 16/4 Picatinny Rail, UPR 16/4 Picatinny Rail, PR870, AGR-870, G3-RS Railed",YES,OK,YES,AWAITING LOGO,,
Federal Premium Ammunition,Homeland Defense Munitions,,,,,,,
Fightlite Industries,STRIKON,,YES,OK,YES,AWAITING LOGO,,
Fine Ballistic Tools (FBT),Refined Ballistic Machineworks,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Firefield,EmberField,,,,NO,DONE,,
Fortis Manufacturing,Validus Defense ,"Fortis LA, Pts Fortis Shift Tactical",YES,OK,YES,AWAITING LOGO,,
FR Ordnance,Ferro Ordnance Group ,"MC51K Upper, MC51 Upper, MC51SD Upper, MC51 211mm 7.62x51, MC51 145mm 7.62x51, MC51SD 125mm 7.62x51, MC51K Bolt, MC51 Bolt, MC51SD,",YES,OK,YES,AWAITING LOGO,,
GBRS Group,WARS Group,,YES,OK,YES,AWAITING LOGO COMMISSION,,
GCT (Gun Custom Tuning),TrueLock Custom ,Gun Custom Tuning PM Tactic Kit,YES,OK,NO,DONE,,
Gear Head Works (GHW),GXW (Gear X Works),GHW Tailhook,YES,OK,NO,DONE,,
Geissele Automatics,Schmidt Trigger Group,"Super SCAR, Super Modular Rail MK4 Federal M-LOK 10"", Super Modular Rail MK16 M-LOK URG-I 15"", Super Modular Rail MK16 M-LOK URG-I 9.3"", Super Modular Rail MK16 M-LOK URG-I 13.5"", Super Modular Rail MK16 M-LOK URG-I 10.5"",",YES,OK,YES,AWAITING LOGO,,
Geissele Automatics,Vallais Automatics,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Gemtech,Onyx,,YES,OK,YES,AWAITING LOGO,,
GRAYGUNS,ASHGUNS,,YES,i dont give a damn,YES,DONE,,
Griffin Armament,Gryphon Tactical ,Griffin Armaments 24-1/2,YES,OK,NO,DONE,,
Grip Pod Systems,GripPod Co.,,,,,,,
Haga Defense,Skadi Armory ,,,,,,,
HANDL Defense,HILT Defense,,YES,,YES,DONE,,
Harris Engineering,Harrison Technical Solutions,HBR Bipod Base,,,NO,DONE,,
HDPS,HDTS,UMP 200mm threaded barrel,,,NO,DONE,,
Hensoldt,Hetzel AG (changed from hartmann),"6x42 scope, eye cup",YES,,YES,AWAITING LOGO,,
Hera Arms,Eris Arms,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Hexagon,HexTac,,YES,,NO,DONE,,
Hi-Desert Dog,Hi-Dog,"SCAR-H gas block, SCAR-H barrel",YES,,NO,DONE,,
Hogue Inc.,Rogue Co.,,YES,OK,NO,DONE,,
Holosun,har,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Hornady,Hornet,"5.45x39mm caliber rounds, 9x18 caliber rounds",YES,,NO,DONE,,
HRF Concepts,HPF Concepts,HRP Concepts RCM AR-15 Milspec,YES,,YES,AWAITING LOGO,,
Hughes Precision,Tubewerx,,YES,,NO,DONE,,
HUXWRX Safety Co. (formerly OSS Suppressors),Spiderweb Suppressors,Suppressors (wow),YES,,YES,AWAITING LOGO,,
Imperial Arms Co.,Monarch Ballistics,"Imperial Arms Buffered SCAR, Imperial Arms CypherX Standard SCAR-H, Imperial Arms CypherX Standard SCAR-H, ",YES,OK,YES,AWAITING LOGO,,
Infinite Product Solutions (IPS),Apex Infinity Solutions,,YES,OK,YES,AWAITING MODEL EDIT,,
Insight Technology,Percept Technology,,YES,,YES,AWAITING LOGO COMMISSION,,
Iron Claw Tactical,Steel Talon Tactical,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Isle MFG,Island Customs,,,,,,,
JMAC Customs,AJMM Customs ,,,,,,,
JP Enterprises,DS (Don Springer) Enterprises ,,,,,,,
Juggernaut Tactical,Behemoth Tactical,Juggernaut tacticals featureless,YES,OK,NO,DONE,,
KAK Industry,BNB Industries,"KAK Value Line Light Tapered Melonite AR9 3"" 9x19",YES,OK,NO,DONE,,
Khyber Customs,Karakoram Customs,,,,,,,
Kinetic Development Group,Dynamic Development Group,,YES,OK,NO,DONE,,
Knight's Armament Company (KAC),Paladin's Armament Company (PAC),,YES,OK,YES,AWAITING LOGO COMMISSION,,
KNS Precision,F&B Precision ,FAL front sights,,,NO,DONE,,
KSD Grips,ADD Grips ,Acrylic ivory pistol grip,,,NO,DONE,,
L.A.C. (Lac-Custom),Laika Gun Tuning,,,,,,,
L3Harris,N4 Harrison,lasers,YES,OK,YES,AWAITING LOGO COMMISSION,,
Lake City Army Ammunition Plant,Bayhou Borough Ammunition Plant,,,,,,,
Lancer Systems,Dragoon Systems,5.56x45mm Magazines / Magazine Accessories,YES,OK,YES,AWAITING LOGO,,
Lantac,PGTac,,,,,,,
LaRue Tactical,LeRoux Tactical,LaRue QD LT-101,YES,OK,YES,AWAITING LOGO,,
LayLax,ChillSet,Laylax SCAR Rail Extension,YES,OK,YES,AWAITING LOGO,,
Leapers (UTG),Leopard,Leapers UTG PRO MTU-028SG,YES,OK,NO,DONE,,
Legal Arsenal,FireLine ,,,,NO,DONE,,
Leupold & Stevens,Strauss & Double ,"Sights, sight mounts",YES,OK,YES,AWAITING LOGO,,
Lewis Machine & Tool (LMT),Smith Machine & Tool (SMT),,,,,,,
Liberty Ammunition,Freedom Ammunition,,,,,,,
Lingle Industries,Mingle Productions,,,,,,,
Lone Star Armory,Metroplex Armory,,,,,,,
Madbull Airsoft,West Crane Airsoft (use for all airsoft shit maybe),,,,,,,
Magpul,Magtap,,YES,OK,YES,AWAITING MODEL EDIT,,
Malkoff,Hoffman,Flashlight Heads,YES,OK,NO,DONE,,
Manticore Arms,Cerberus Arms,mostly aug aftermarket,YES,OK,YES,AWAITING LOGO COMMISSION,,
MaTech,FabTech,,,,NO,DONE,,
MDT (Modular Driven Technologies),MCS (Modular Component Systems),r700 chassis,YES,OK,YES,AWAITING MODEL EDIT,,
Mechanix,Technix,,YES,OK,YES,AWAITING LOGO,,
Mesa Tactical,Canyon Tactical,,,,,,,
MFI,MJI,,,,,,,
Midwest Industries,Northeast Industries,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Mission First Tactical,Operation Last Tactical ,,,,,,,
Modlite Systems,WepMod Systems,Flashlight heads,YES,OK,YES,DONE,,
MODTAC,TACLITE Armory,"MODTAC M-RAC, U-RAC",YES,OK,NO,DONE,,
Molon Labe Industries,Carpe Diem Industries,"SCAR-H 7.62x51 Polymer 15R, SCAR-H 7.62x51 Polymer 20R, SCAR-H 7.62x51 Polymer 30R, SCAR-H 7.62x51 Polymer 10R",YES,OK,YES,AWAITING LOGO + UNSURE,,
Molot,Kuvalda,5.45x39 AK74/RPK 6L18 45R,YES,OK,NO,DONE,,
Monstrum Tactical,Abomination Military Supply,,,,,,,
Moses Mag Works,Noah Magazines,FAL Polymer 20R,YES,OK,YES,AWAITING LOGO,,
Moto-Tech Engineering,Edinburg Engineering,SCARburator Gen3,YES,OK,NO,DONE,,
Nammo,Emmeo .Co,7.62x51 Nammo M993 129gr AP,YES,OK,NO,DONE,,
NBS (AR-15Discounts.com house brand),HTF (Hit The Fan),NBS AR-15 9x19 Colt (Mag Adapter),YES,OK,NO,DONE,,
NcStar (and VISM),CosmoTac,,YES,OK,UNSURE,UNSURE,,
Nightforce,Nighthawk,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Nordic Components,Kaleva Components,Nordic Corvette 5.56x45 (Muzzle Device),YES,OK,NO,DONE,,
Norma,Traviata,9x19 Norma MLE 94gr RHT Frangible,YES,OK,NO,DONE,,
Noveske Rifleworks,Nowa Rifleworks,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Novosibirsk Cartridge Plant,Norilsk Ammunition Factory,"7.62x54R 7N1 151gr PS, 7.62x54R 7T2 149gr Green Tracer, 9x18 57-N-181S 92gr Pst, 9x18 57-T-181 56gr Red Tracer,",YES,OK,NO,DONE,,
NovX,NewQ,5.56x45 Pentagon 55gr MCHP,YES,OK,NO,DONE,,
NPO Bazalt,SNO Vulkan (Spetsialnoye nauchnoye obyedineniye Vulkan),RPG-7 Parts,YES,OK,NO,DONE,,
Odin Works,Allfather Customs,,,,NO,,,
OKB,KEP (Кабинет экспериментальных проектов),,,,,,,
Omega,Q-LITE,,,,,,,
OSS Suppressors (now HUXWRX Safety Co.),Spiderweb Supressors,,,,,,,
Pachmayr,Bocheneks,,,,,,,
Palmetto State Armory (PSA),Tarheel State Arms (TSA),A custom trigger,YES,OK,NO,DONE,,
Parker Mountain Machine (PMM),Everetts Machining,,,,,,,
Phoenix Rising,Hellhound Rising,,,,,,,
PJS,IHS,"AUG A3 SA CQC Handguard, AUG A3 SA CQC Top Rail, AUG CQC Right, AUG CQC Left",YES,OK,NO,DONE,,
PPU (Prvi Partizan),Zlatni Meci (ZiM),"7.62x54R 150gr SPBT, 7.62x39 123gr JSP, 9x18 93gr FMJ,",YES,OK,NO,DONE,,
Primary Arms,Paramount Arms,Riser mounts,YES,OK,YES,AWAITING LOGO,,
Primary Arms,Secarm (Security Armaments),,YES,NO,,,,
Primary Weapons Systems (PWS),Authentic Firearms Systems (AFS),,YES,OK,,Can't find any models,,
ProMag,ProClip,,,,,,,
PTS (Professional Training & Simulation),KTI (Knowledge Transfer Industries),,,,,,,
PuP Light,BULLFLASH,,,,,,,
Radian Weapons,Ardian Weapons,,YES,OK,YES,AWAITING LOGO + UNSURE,,
RailScales,RailSnakes,,,,,,,
Rat Worx,Mouse Wrks,,,,,,,
Razor Arms,Grip Arms,,,,,,,
Remington,Roosevelt,,YES,OK,YES,DONE,,
Retro Arms,Retrospect,Retro Arms Modified CNC AK Model A,YES,OK,NO,DONE,,
Rifle Dynamics,Weapon Dynamics,AK to M4 Gen2 (Adapter),YES,OK,NO,DONE,,
Rock Solid Industries,Resolute Industries,Mosin Parts,YES,OK,NO,DONE,,
Rock Solid Industries,Steadfast Industries,,YES,OK,,,,
Rotor 43,Bunker 47,,,,,,,
RS Regulate,GS Direct (Grand Screwery Direct),,,,,,,
RTM,Drummond Modular,,,,,,,
Rugged Suppressors,Resiliant Suppressors,,YES,OK,NO,DONE,,
RWB,Tripo (Tri Poloski),,,,,,,
SAG (Sureshot Armament Group),Tempus Weapons Group,,,,,,,
Salient Arms International (SAI),SaBre (Salient Breach),,,,,,,
SC Irregulars,AT Refine,,YES,OK,,,,
Scalarworks,Vectorworks,"Aimpoint Micro mounts, front / rear sights",YES,OK,YES,AWAITING LOGO,,
Schmeisser GmbH,Pfalzgraff GmbH,,,,,,,
Scout Scopes,Long-Flex Scopes,,,,,,,
Sellier & Bellot (S&B),Joshua & Danny (J&D),,,,,,,
SGM Tactical,Fractured Segment Tac (FST),,,,,,,
Shenzhen Defender,Schneider Defense,"QBZ-95 Long Bow Picatinny Carry Handle, QBZ-95 Long Bow MLOK Carry Handle",YES,OK,NO,DONE,,
Shockwave Technologies,Earthquake Tech,Shockwave Raptor Rem870 (Stock),YES,OK,NO,DONE,,
Sightmark,Total-Zero Optics,,,,,,,
SilencerCo,Suppressors Inc.,,YES,OK,YES,DONE,,
SLR Rifleworks,ALR (Auto-Loading-Rifle) Rifleworks,,,,,,,
SOF Industries,FFG (Free Fire Group),,,,,,,
Speer,Pike,,,,,,,
Spike's Tactical,Jackson's Tactical,,,,,,,
"Springfield Armory, Inc.","Salem Armory, Inc. ",,,,,,,
Spuhr,Sture,,,,,,,
Stark Equipment,Bolt Equipment,,,,,,,
STNGR,STRYKR,,YES,OK,,,,
Strike Industries,Assault Industries,,,,,,,
Strike Industries ,Smite Industries,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Supernova,Nova,,,,,,,
Surefire,CentreFire,,YES,ITS GOOD ENOUGH,YES,AWAITING MODEL EDIT + UNSURE,,
Tactical Dynamics,Ergo-Tec,,,,,,,
TALON Grips,MAUL Grips,,,,,,,
TangoDown,TargetDown,Tangodown BGV-MK46K,YES,OK,NO,DONE,,
Taylor Freelance,Tyler Freelance,Colt SMG 10R Mag Extension,YES,OK,NO,DONE,,
Thordsen Customs,Tungsten Customs,,,,,,,
Thunder Beast Arms Corporation (TBAC),Black Prince Arms Corporation (BPAC),,,,,,,
Tiger Rock,Panther Rock,,,,,,,
Timber Creek Outdoors,Lumber River Outdoors ,,,,,,,
Timney,Lockwood,,YES,OK,YES,AWAITING LOGO,,
TommyBuilt Tactical,Taq & Built Industries,,,,,,,
Trijicon,Virticon,,YES,OK,YES,AWAITING LOGO,,
Troy Industries,Talvern Industries,,YES,,,,,
Truglo,Trubright,,,,,,,
TSNIITochMash ,TochMash ,,YES,OK,NO,DONE,,
TSS Custom,FSS Industrial ,,,,,,,
Type 97.ca,X97.ca,,,,,,,
UltiMAK,UltrAK,,,,,,,
Ultrafire,Hyperbeam,,YES,OK,YES,AWAITING LOGO COMMISSION,,
UM Tactical,,,,,,,,
Underwood Ammo,BlueWood Munitions Co,,,,,,,
United Scientific Industries (maker of the SUSAT),British Scientific Manufacturing,,,,,,,
Unity Tactical,Harmony Tactical,,,,,,,
US Palm,US Pine,US Palm AK,YES,OK,YES,AWAITING LOGO,,
UTG (brand of Leapers),ATG (Applicable Tactical Gear),"Stocks, foregrips, mounts",YES,OK,NO,DONE,,
Valday,Volhov,"ZT-310 Picatinny, 1P90 (ZT-310) 3X, PK-120 (1P87), ZT-310 Picatinny",YES,OK,YES,AWAITING LOGO + UNSURE,,
velesCo,Veles,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Veriforce Tactical,Quix Tacticals,"AR-15 Ultralight MLOK 4"", AR-15 Nitride 5"" Custom Length Gastube 5.56x45",YES,OK,NO,DONE,,
Viking Tactics (VTAC),Aesir Gear,,,,,,,
VLTOR ,VYCTOR ,,YES,OK,NO,DONE,,
VOMZ (makes Pilad),Novgorod Optical Manufacturing Plant (NOMZ),Pilad P3.5x20 C,YES,OK,YES,AWAITING LOGO,,
Vortex Optics,Cyclone Optics,,,,,,,
Walther,Gunther,Walther MRS Reflex,YES,OK,YES,AWAITING LOGO,,
War Sport,Cal Sport,"Short Accessory Rail, Long Accessory Rail, LVOA-C 16.25"", LVOA-S 13.5"" ",YES,OK,NO,DONE,,
WAS Woodworks,IS Joineries (ISJ),,,,,,,
Wasatch Arms,Watcher Armory,,,,,,,
Weaver Optics,Spinner Optics,Weaver Extended Multi-Slot (Rail),YES,OK,YES,AWAITING LOGO,,
Wilcox Industries,Whitehouse Products,"RAID Xe Legacy Crane Connector, RAID Xe Front, COMP-M 30mm, RAID Xe G18 High Power, RAID Xe G14 High Power",YES,OK,YES,AWAITING LOGO,,
Wilson Combat,Whitner Defense,"Mounts, Wilson Combat EDC X9 parts",YES,OK,YES,AWAITING LOGO,,
Winchester Ammunition,Alchaplin Ammunition,,,,,,,
Windham Weaponry,Windsor Armory,"Sling, AR-15 Railed (Gasblock)",YES,OK,NO,DONE,,
Wolf Hill,Fox Hill,"12G 2.75"" Bean Bag",YES,OK,NO,DONE,,
Wolf Performance Ammunition,Fox Performance Ammunition,5.45x39 55gr HPBT,YES,OK,NO,DONE,,
Wyatt's Outdoors,Scrubs' Outdoors,,YES,OK,NO,DONE,,
X Products,Cartesia Productions,"SCAR-H Trigger Module, .308 50R Drum, MP5 9x19 50R Drum, .308 50R Drum",YES,OK,YES,AWAITING LOGO,,
X-Caliber,Ex-Call,6 Groove Mid Length Gastube for .223 Wylde,YES,OK,NO,DONE,,
XS Sights,HG Sights,XS Shortrail Ghost Ring (for R870),YES,OK,NO,DONE,,
Zeiss,Geass,Isn't zeiss popular in photography or something,YES,OK,NO,DONE,,
ZEV Technologies,ZVE Technologies,,YES,OK,NO,DONE,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,Lmao
